"","Genotype","Data","Sample","NMJ","Segment","Boutons","Experiment","IntDen...pMad","CTCF"
"1","WT-cr/LoxP","Boutons","1a","4",3,"33",1,NA,NA
"2","WT-cr/LoxP","Boutons","2a","4",3,"19",1,NA,NA
"3","WT-cr/LoxP","Boutons","2b","4",3,"38",1,NA,NA
"4","WT-cr/LoxP","Boutons","3a","4",3,"15",1,NA,NA
"5","WT-cr/LoxP","Boutons","3b","4",3,"25",1,NA,NA
"6","WT-cr/LoxP","Boutons","4a","4",3,"15",1,NA,NA
"7","WT-cr/LoxP","Boutons","4b","4",3,"23",1,NA,NA
"8","WT-cr/LoxP","Boutons","5a","4",3,"28",1,NA,NA
"9","WT-cr/LoxP","Boutons","6a","4",3,"32",1,NA,NA
"10","WT-cr/LoxP","Boutons","5b","4",3,"22",1,NA,NA
"11","WT-cr/LoxP","Boutons","4b","4",3,"20",2,NA,NA
"12","WT-cr/LoxP","Boutons","5a","4",3,"35",2,NA,NA
"13","WT-cr/LoxP","Boutons","5b","4",3,"30",2,NA,NA
"14","WT-cr/LoxP","Boutons","1a","4",3,"37",2,NA,NA
"15","WT-cr/LoxP","Boutons","1b","4",3,"23",2,NA,NA
"16","WT-cr/LoxP","Boutons","2a","4",3,"29",2,NA,NA
"17","WT-cr/LoxP","Boutons","2b","4",3,"23",2,NA,NA
"18","WT-cr/LoxP","Boutons","3a","4",3,"48",2,NA,NA
"19","WT-cr/LoxP","Boutons","1a","4",4,"22",1,NA,NA
"20","WT-cr/LoxP","Boutons","1b","4",4,"18",1,NA,NA
"21","WT-cr/LoxP","Boutons","2a","4",4,"45",1,NA,NA
"22","WT-cr/LoxP","Boutons","2b","4",4,"35",1,NA,NA
"23","WT-cr/LoxP","Boutons","3a","4",4,"38",1,NA,NA
"24","WT-cr/LoxP","Boutons","3b","4",4,"39",1,NA,NA
"25","WT-cr/LoxP","Boutons","4a","4",4,"39",1,NA,NA
"26","WT-cr/LoxP","Boutons","4b","4",4,"20",1,NA,NA
"27","WT-cr/LoxP","Boutons","5a","4",4,"39",1,NA,NA
"28","WT-cr/LoxP","Boutons","5b","4",4,"38",1,NA,NA
"29","WT-cr/LoxP","Boutons","6a","4",4,"27",1,NA,NA
"30","WT-cr/LoxP","Boutons","6b","4",4,"36",1,NA,NA
"31","WT-cr/LoxP","Boutons","1a","4",4,"32",2,NA,NA
"32","WT-cr/LoxP","Boutons","1b","4",4,"28",2,NA,NA
"33","WT-cr/LoxP","Boutons","2a","4",4,"22",2,NA,NA
"34","WT-cr/LoxP","Boutons","2b","4",4,"31",2,NA,NA
"35","WT-cr/LoxP","Boutons","3a","4",4,"30",2,NA,NA
"36","WT-cr/LoxP","Boutons","3b","4",4,"26",2,NA,NA
"37","WT-cr/LoxP","Boutons","4a","4",4,"32",2,NA,NA
"38","WT-cr/LoxP","Boutons","4b","4",4,"35",2,NA,NA
"39","WT-cr/LoxP","Boutons","5a","4",4,"35",2,NA,NA
"40","WT-cr/LoxP","Boutons","5b","4",4,"33",2,NA,NA
"41","WT-cr/LoxP","Boutons","6a","4",4,"38",2,NA,NA
"42","WT-cr/LoxP","Boutons","6b","4",4,"48",2,NA,NA
"43","WT-cr/LoxP","Boutons","1a","4",5,"23",1,NA,NA
"44","WT-cr/LoxP","Boutons","1b","4",5,"34",1,NA,NA
"45","WT-cr/LoxP","Boutons","2a","4",5,"34",1,NA,NA
"46","WT-cr/LoxP","Boutons","2b","4",5,"8",1,NA,NA
"47","WT-cr/LoxP","Boutons","3a","4",5,"49",1,NA,NA
"48","WT-cr/LoxP","Boutons","3b","4",5,"43",1,NA,NA
"49","WT-cr/LoxP","Boutons","4a","4",5,"13",1,NA,NA
"50","WT-cr/LoxP","Boutons","4b","4",5,"33",1,NA,NA
"51","WT-cr/LoxP","Boutons","5a","4",5,"38",1,NA,NA
"52","WT-cr/LoxP","Boutons","5b","4",5,"42",1,NA,NA
"53","WT-cr/LoxP","Boutons","6a","4",5,"30",1,NA,NA
"54","WT-cr/LoxP","Boutons","6b","4",5,"23",1,NA,NA
"55","WT-cr/LoxP","Boutons","1a","4",5,"19",2,NA,NA
"56","WT-cr/LoxP","Boutons","1b","4",5,"18",2,NA,NA
"57","WT-cr/LoxP","Boutons","2a","4",5,"18",2,NA,NA
"58","WT-cr/LoxP","Boutons","2b","4",5,"26",2,NA,NA
"59","WT-cr/LoxP","Boutons","3a","4",5,"42",2,NA,NA
"60","WT-cr/LoxP","Boutons","3b","4",5,"11",2,NA,NA
"61","WT-cr/LoxP","Boutons","4a","4",5,"32",2,NA,NA
"62","WT-cr/LoxP","Boutons","4b","4",5,"37",2,NA,NA
"63","WT-cr/LoxP","Boutons","5a","4",5,"37",2,NA,NA
"64","WT-cr/LoxP","Boutons","5b","4",5,"37",2,NA,NA
"65","WT-cr/LoxP","Boutons","6a","4",5,"40",2,NA,NA
"66","WT-cr/LoxP","Boutons","6b","4",5,"26",2,NA,NA
"67","WT-cr/LoxP","Boutons","1a","4",6,"20",1,NA,NA
"68","WT-cr/LoxP","Boutons","1b","4",6,"20",1,NA,NA
"69","WT-cr/LoxP","Boutons","2a","4",6,"26",1,NA,NA
"70","WT-cr/LoxP","Boutons","2b","4",6,"29",1,NA,NA
"71","WT-cr/LoxP","Boutons","3a","4",6,"34",1,NA,NA
"72","WT-cr/LoxP","Boutons","3b","4",6,"31",1,NA,NA
"73","WT-cr/LoxP","Boutons","4a","4",6,"20",1,NA,NA
"74","WT-cr/LoxP","Boutons","4b","4",6,"27",1,NA,NA
"75","WT-cr/LoxP","Boutons","5a","4",6,"20",1,NA,NA
"76","WT-cr/LoxP","Boutons","5b","4",6,"22",1,NA,NA
"77","WT-cr/LoxP","Boutons","6a","4",6,"24",1,NA,NA
"78","WT-cr/LoxP","Boutons","6b","4",6,"12",1,NA,NA
"79","WT-cr/LoxP","Boutons","1a","4",6,"21",2,NA,NA
"80","WT-cr/LoxP","Boutons","1b","4",6,"15",2,NA,NA
"81","WT-cr/LoxP","Boutons","2a","4",6,"32",2,NA,NA
"82","WT-cr/LoxP","Boutons","2b","4",6,"25",2,NA,NA
"83","WT-cr/LoxP","Boutons","3a","4",6,"25",2,NA,NA
"84","WT-cr/LoxP","Boutons","3b","4",6,"25",2,NA,NA
"85","WT-cr/LoxP","Boutons","4a","4",6,"14",2,NA,NA
"86","WT-cr/LoxP","Boutons","4b","4",6,"35",2,NA,NA
"87","WT-cr/LoxP","Boutons","5a","4",6,"4",2,NA,NA
"88","WT-cr/LoxP","Boutons","5b","4",6,"19",2,NA,NA
"89","WT-cr/LoxP","Boutons","6a","4",6,"30",2,NA,NA
"90","WT-cr/LoxP","Boutons","1a","6-7",3,"42",1,NA,NA
"91","WT-cr/LoxP","Boutons","2a","6-7",3,"51",1,NA,NA
"92","WT-cr/LoxP","Boutons","2b","6-7",3,"37",1,NA,NA
"93","WT-cr/LoxP","Boutons","3a","6-7",3,"30",1,NA,NA
"94","WT-cr/LoxP","Boutons","3b","6-7",3,"49",1,NA,NA
"95","WT-cr/LoxP","Boutons","4b","6-7",3,"72",1,NA,NA
"96","WT-cr/LoxP","Boutons","5a","6-7",3,"58",1,NA,NA
"97","WT-cr/LoxP","Boutons","5b","6-7",3,"49",1,NA,NA
"98","WT-cr/LoxP","Boutons","6a","6-7",3,"34",1,NA,NA
"99","WT-cr/LoxP","Boutons","1a","6-7",3,"29",2,NA,NA
"100","WT-cr/LoxP","Boutons","2a","6-7",3,"30",2,NA,NA
"101","WT-cr/LoxP","Boutons","2b","6-7",3,"41",2,NA,NA
"102","WT-cr/LoxP","Boutons","3a","6-7",3,"87",2,NA,NA
"103","WT-cr/LoxP","Boutons","3b","6-7",3,"91",2,NA,NA
"104","WT-cr/LoxP","Boutons","4a","6-7",3,"59",2,NA,NA
