Genotype,Model,Rescue,Segment,Boutons
WT,WT,Control,A4,44
WT,WT,Control,A4,34
WT,WT,Control,A4,36
WT,WT,Control,A4,37
WT,WT,Control,A4,30
WT,WT,Control,A4,34
WT,WT,Control,A4,31
WT,WT,Control,A4,38
WT,WT,Control,A4,32
WT,WT,Control,A4,29
WT,WT,Control,A4,36
OK371>SaxA WT,WT,SaxA,A4,29
OK371>SaxA WT,WT,SaxA,A4,24
OK371>SaxA WT,WT,SaxA,A4,27
OK371>SaxA WT,WT,SaxA,A4,39
OK371>SaxA WT,WT,SaxA,A4,33
OK371>SaxA WT,WT,SaxA,A4,36
OK371>SaxA WT,WT,SaxA,A4,36
OK371>SaxA WT,WT,SaxA,A4,34
OK371>SaxA WT,WT,SaxA,A4,38
OK371>SaxA WT,WT,SaxA,A4,42
OK371>SaxA WT,WT,SaxA,A4,30
OK371>SaxA WT,WT,SaxA,A4,33
OK371>SaxA WT,WT,SaxA,A4,40
OK371>SaxA WT,WT,SaxA,A4,33
G85R,G85R,Control,A4,23
G85R,G85R,Control,A4,29
G85R,G85R,Control,A4,29
G85R,G85R,Control,A4,26
G85R,G85R,Control,A4,41
G85R,G85R,Control,A4,26
G85R,G85R,Control,A4,49
G85R,G85R,Control,A4,19
G85R,G85R,Control,A4,42
G85R,G85R,Control,A4,23
OK371>SaxA G85R,G85R,SaxA,A4,38
OK371>SaxA G85R,G85R,SaxA,A4,28
OK371>SaxA G85R,G85R,SaxA,A4,40
OK371>SaxA G85R,G85R,SaxA,A4,46
OK371>SaxA G85R,G85R,SaxA,A4,29
OK371>SaxA G85R,G85R,SaxA,A4,53
OK371>SaxA G85R,G85R,SaxA,A4,40
OK371>SaxA G85R,G85R,SaxA,A4,44
OK371>SaxA G85R,G85R,SaxA,A4,44
OK371>SaxA G85R,G85R,SaxA,A4,48
WT,WT,Control,A5,27
WT,WT,Control,A5,32
WT,WT,Control,A5,33
WT,WT,Control,A5,35
WT,WT,Control,A5,35
WT,WT,Control,A5,38
WT,WT,Control,A5,39
WT,WT,Control,A5,40
WT,WT,Control,A5,40
WT,WT,Control,A5,45
WT,WT,Control,A5,53
OK371>SaxA WT,WT,SaxA,A5,20
OK371>SaxA WT,WT,SaxA,A5,21
OK371>SaxA WT,WT,SaxA,A5,22
OK371>SaxA WT,WT,SaxA,A5,23
OK371>SaxA WT,WT,SaxA,A5,29
OK371>SaxA WT,WT,SaxA,A5,30
OK371>SaxA WT,WT,SaxA,A5,32
OK371>SaxA WT,WT,SaxA,A5,33
OK371>SaxA WT,WT,SaxA,A5,37
OK371>SaxA WT,WT,SaxA,A5,38
OK371>SaxA WT,WT,SaxA,A5,39
OK371>SaxA WT,WT,SaxA,A5,40
OK371>SaxA WT,WT,SaxA,A5,42
G85R,G85R,Control,A5,21
G85R,G85R,Control,A5,22
G85R,G85R,Control,A5,24
G85R,G85R,Control,A5,24
G85R,G85R,Control,A5,24
G85R,G85R,Control,A5,26
G85R,G85R,Control,A5,27
G85R,G85R,Control,A5,31
G85R,G85R,Control,A5,32
G85R,G85R,Control,A5,33
G85R,G85R,Control,A5,35
G85R,G85R,Control,A5,35
G85R,G85R,Control,A5,39
G85R,G85R,Control,A5,45
OK371>SaxA G85R,G85R,SaxA,A5,29
OK371>SaxA G85R,G85R,SaxA,A5,31
OK371>SaxA G85R,G85R,SaxA,A5,33
OK371>SaxA G85R,G85R,SaxA,A5,36
OK371>SaxA G85R,G85R,SaxA,A5,36
OK371>SaxA G85R,G85R,SaxA,A5,37
OK371>SaxA G85R,G85R,SaxA,A5,42
OK371>SaxA G85R,G85R,SaxA,A5,43
OK371>SaxA G85R,G85R,SaxA,A5,51
OK371>gbb WT,WT,gbb,A4,30
OK371>gbb WT,WT,gbb,A4,38
OK371>gbb WT,WT,gbb,A4,41
OK371>gbb WT,WT,gbb,A4,50
OK371>gbb WT,WT,gbb,A4,29
OK371>gbb WT,WT,gbb,A4,35
OK371>gbb WT,WT,gbb,A4,37
OK371>gbb WT,WT,gbb,A4,32
OK371>gbb WT,WT,gbb,A4,28
OK371>gbb WT,WT,gbb,A4,29
OK371>gbb WT,WT,gbb,A4,24
OK371>gbb WT,WT,gbb,A4,31
OK371>gbb WT,WT,gbb,A4,41
OK371>gbb WT,WT,gbb,A4,26
OK371>gbb WT,WT,gbb,A4,25
OK371>gbb WT,WT,gbb,A4,41
OK371>gbb WT,WT,gbb,A4,27
OK371>gbb G85R,G85R,gbb,A4,25
OK371>gbb G85R,G85R,gbb,A4,31
OK371>gbb G85R,G85R,gbb,A4,51
OK371>gbb G85R,G85R,gbb,A4,33
OK371>gbb G85R,G85R,gbb,A4,30
OK371>gbb G85R,G85R,gbb,A4,26
OK371>gbb G85R,G85R,gbb,A4,30
OK371>gbb G85R,G85R,gbb,A4,29
OK371>gbb G85R,G85R,gbb,A4,35
OK371>gbb G85R,G85R,gbb,A4,30
OK371>gbb G85R,G85R,gbb,A4,28
OK371>gbb G85R,G85R,gbb,A4,27
OK371>gbb G85R,G85R,gbb,A4,32
OK371>gbb G85R,G85R,gbb,A4,37
OK371>gbb G85R,G85R,gbb,A4,20
OK371>gbb G85R,G85R,gbb,A4,29
OK371>gbb G85R,G85R,gbb,A4,27
OK371>gbb G85R,G85R,gbb,A4,51
OK371>gbb G85R,G85R,gbb,A4,24
OK371>gbb G85R,G85R,gbb,A4,33
OK371>gbb G85R,G85R,gbb,A4,26
OK371>gbb G85R,G85R,gbb,A4,30
OK371>gbb G85R,G85R,gbb,A4,35
OK371>gbb G85R,G85R,gbb,A4,27
OK371>gbb G85R,G85R,gbb,A4,39
OK371>gbb WT,WT,gbb,A5,22
OK371>gbb WT,WT,gbb,A5,23
OK371>gbb WT,WT,gbb,A5,24
OK371>gbb WT,WT,gbb,A5,28
OK371>gbb WT,WT,gbb,A5,29
OK371>gbb WT,WT,gbb,A5,31
OK371>gbb WT,WT,gbb,A5,33
OK371>gbb WT,WT,gbb,A5,33
OK371>gbb WT,WT,gbb,A5,33
OK371>gbb WT,WT,gbb,A5,41
OK371>gbb G85R,G85R,gbb,A5,27
OK371>gbb G85R,G85R,gbb,A5,28
OK371>gbb G85R,G85R,gbb,A5,29
OK371>gbb G85R,G85R,gbb,A5,30
OK371>gbb G85R,G85R,gbb,A5,30
OK371>gbb G85R,G85R,gbb,A5,32
OK371>gbb G85R,G85R,gbb,A5,32
OK371>gbb G85R,G85R,gbb,A5,33
OK371>gbb G85R,G85R,gbb,A5,35
OK371>gbb G85R,G85R,gbb,A5,37
OK371>gbb G85R,G85R,gbb,A5,38
