day,w1118,dsodWT,A4V,A4V/X16
1,100,100,100,100
2,99.52380952,100,100,100
3,99.52380952,99.62825279,100,100
4,99.04761905,98.88475836,99.53051643,100
5,98.57142857,98.88475836,99.53051643,97.6744186
6,97.61904762,98.88475836,99.53051643,97.6744186
7,97.14285714,98.88475836,99.53051643,95.34883721
8,97.14285714,98.88475836,99.53051643,95.34883721
9,96.66666667,98.88475836,99.06103286,95.34883721
10,96.19047619,98.88475836,99.06103286,95.34883721
11,95.71428571,98.88475836,98.5915493,95.34883721
12,95.71428571,98.88475836,98.12206573,95.34883721
13,95.23809524,98.88475836,98.12206573,95.34883721
14,95.23809524,98.88475836,98.12206573,95.34883721
15,95.23809524,98.88475836,98.12206573,95.34883721
16,94.76190476,98.88475836,98.12206573,95.34883721
17,94.76190476,98.88475836,98.12206573,95.34883721
18,94.76190476,98.51301115,98.12206573,95.34883721
19,94.76190476,98.51301115,97.18309859,95.34883721
20,94.76190476,98.51301115,96.71361502,93.02325581
21,94.76190476,98.14126394,96.24413146,90.69767442
22,94.76190476,98.14126394,93.89671362,90.69767442
23,94.76190476,98.14126394,92.01877934,88.37209302
24,94.76190476,97.39776952,88.73239437,88.37209302
25,94.76190476,97.39776952,83.56807512,88.37209302
26,94.76190476,97.39776952,79.81220657,81.39534884
27,94.76190476,96.28252788,74.17840376,76.74418605
28,94.76190476,96.28252788,71.83098592,76.74418605
29,94.76190476,95.91078067,67.13615023,76.74418605
30,94.76190476,95.91078067,63.38028169,72.09302326
31,94.76190476,95.91078067,61.03286385,62.79069767
32,94.28571429,95.91078067,57.74647887,62.79069767
33,94.28571429,94.79553903,54.92957746,58.13953488
34,94.28571429,94.79553903,52.58215962,58.13953488
35,94.28571429,94.79553903,50.70422535,58.13953488
36,93.80952381,93.6802974,45.07042254,58.13953488
37,93.33333333,92.19330855,44.60093897,58.13953488
38,93.33333333,92.19330855,39.90610329,58.13953488
39,92.85714286,92.19330855,38.49765258,55.81395349
40,92.85714286,91.82156134,33.33333333,55.81395349
41,92.85714286,91.44981413,32.3943662,55.81395349
42,92.38095238,91.44981413,31.45539906,55.81395349
43,91.42857143,91.44981413,28.63849765,48.8372093
44,91.42857143,91.44981413,26.76056338,30.23255814
45,91.42857143,91.07806691,23.4741784,27.90697674
46,90.47619048,89.96282528,22.0657277,27.90697674
47,89.04761905,89.21933086,21.12676056,25.58139535
48,87.14285714,88.84758364,17.37089202,18.60465116
49,86.66666667,88.84758364,16.43192488,18.60465116
50,83.33333333,88.84758364,13.14553991,18.60465116
51,79.52380952,88.84758364,11.7370892,18.60465116
52,78.57142857,87.3605948,8.920187793,16.27906977
53,76.19047619,86.24535316,7.511737089,13.95348837
54,74.76190476,84.3866171,6.103286385,13.95348837
55,72.85714286,83.64312268,5.633802817,4.651162791
56,71.9047619,82.15613383,4.694835681,4.651162791
57,70,80.66914498,3.286384977,4.651162791
58,66.66666667,79.92565056,2.34741784,4.651162791
59,63.80952381,74.72118959,1.408450704,2.325581395
60,55.71428571,71.37546468,,2.325581395
61,52.38095238,66.54275093,,0
62,48.0952381,61.71003717,,
63,47.14285714,59.10780669,,
64,44.28571429,54.27509294,,
65,38.0952381,49.81412639,,
66,32.85714286,43.866171,,
67,30,42.00743494,,
68,25.71428571,37.5464684,,
69,21.9047619,30.85501859,,
70,11.9047619,24.53531599,,
71,9.047619048,15.24163569,,
72,7.619047619,13.01115242,,
73,6.19047619,12.6394052,,
74,5.714285714,10.03717472,,
75,4.761904762,7.434944238,,
76,2.380952381,5.94795539,,
77,2.380952381,5.576208178,,
78,1.904761905,4.460966543,,
79,1.428571429,4.089219331,,
80,0.952380952,1.486988848,,
81,0,1.115241636,,
82,,0,,
