Day,Genotype,Sex,Rate
3,w1118,M,1.540333333
5,w1118,M,1.493666667
7,w1118,M,1.777666667
10,w1118,M,1.843666667
12,w1118,M,1.707333333
14,w1118,M,1.415333333
16,w1118,M,1.477666667
3,w1118,M,1.232
5,w1118,M,1.008
7,w1118,M,2.062333333
10,w1118,M,1.767
12,w1118,M,2.039333333
14,w1118,M,1.866
16,w1118,M,1.56
3,w1118,M,1.553333333
5,w1118,M,1.172666667
7,w1118,M,1.482333333
10,w1118,M,1.622333333
12,w1118,M,1.728
14,w1118,M,1.329666667
16,w1118,M,1.405
3,w1118,M,1.528
5,w1118,M,1.446
7,w1118,M,1.657
10,w1118,M,2.498666667
12,w1118,M,1.840666667
14,w1118,M,1.948
16,w1118,M,1.744666667
3,w1118,M,1.443666667
5,w1118,M,1.143333333
7,w1118,M,1.719
10,w1118,M,1.887
12,w1118,M,1.585666667
14,w1118,M,1.517
16,w1118,M,1.519666667
3,w1118,M,1.673666667
5,w1118,M,1.251666667
7,w1118,M,1.224
10,w1118,M,1.616666667
12,w1118,M,1.695
14,w1118,M,1.687333333
16,w1118,M,1.451
3,dSodWT,M,1.073
5,dSodWT,M,0.979
7,dSodWT,M,1.329666667
10,dSodWT,M,1.959333333
12,dSodWT,M,1.441666667
14,dSodWT,M,1.775
16,dSodWT,M,0.819
3,dSodWT,M,1.530666667
5,dSodWT,M,1.240333333
7,dSodWT,M,2.018666667
10,dSodWT,M,2.098666667
12,dSodWT,M,2.407666667
14,dSodWT,M,1.335
16,dSodWT,M,1.903333333
3,dSodWT,M,1.593
5,dSodWT,M,1.243
7,dSodWT,M,1.333
10,dSodWT,M,1.200666667
12,dSodWT,M,1.888333333
14,dSodWT,M,1.583
16,dSodWT,M,0.924
3,dSodWT,M,1.114666667
5,dSodWT,M,1.047333333
7,dSodWT,M,1.706333333
10,dSodWT,M,1.942666667
12,dSodWT,M,1.496
14,dSodWT,M,1.3935
16,dSodWT,M,1.494333333
3,dSodWT,M,1.092666667
5,dSodWT,M,1.07
7,dSodWT,M,1.181666667
10,dSodWT,M,1.024333333
12,dSodWT,M,1.354333333
14,dSodWT,M,1.5145
16,dSodWT,M,1.206
3,dSodWT,M,0.913666667
5,dSodWT,M,1.065333333
7,dSodWT,M,1.056333333
10,dSodWT,M,1.378666667
12,dSodWT,M,0.757
14,dSodWT,M,1.137
16,dSodWT,M,1.047666667
3,A4V,M,1.041
5,A4V,M,0.832
7,A4V,M,1.038333333
10,A4V,M,0.533333333
12,A4V,M,0.564666667
14,A4V,M,0.106333333
16,A4V,M,0
3,A4V,M,0.918666667
5,A4V,M,0.560666667
7,A4V,M,0.966
10,A4V,M,0.444
12,A4V,M,0.487333333
14,A4V,M,0.047666667
16,A4V,M,0
3,A4V,M,0.969333333
5,A4V,M,0.757666667
7,A4V,M,1.312
10,A4V,M,0.737666667
12,A4V,M,0.430666667
14,A4V,M,0.549333333
16,A4V,M,0
3,A4V,M,1.026
5,A4V,M,0.877
7,A4V,M,1.426666667
10,A4V,M,0.720333333
12,A4V,M,0.293333333
14,A4V,M,0.36
16,A4V,M,0.001
3,A4V,M,0.956
5,A4V,M,0.871333333
7,A4V,M,1.126333333
10,A4V,M,0.890666667
12,A4V,M,0.569666667
14,A4V,M,0.340666667
16,A4V,M,0.092333333
3,A4V,M,0.717333333
5,A4V,M,0.919333333
7,A4V,M,1.035333333
10,A4V,M,0.888666667
12,A4V,M,0.551333333
14,A4V,M,0.194666667
16,A4V,M,0.174333333
3,w1118,F,0.874666667
5,w1118,F,0.244333333
7,w1118,F,1.467
10,w1118,F,1.113666667
12,w1118,F,1.971333333
14,w1118,F,1.496
16,w1118,F,1.548333333
18,w1118,F,1.315
20,w1118,F,1.653666667
22,w1118,F,1.390333333
24,w1118,F,1.459333333
26,w1118,F,1.067666667
28,w1118,F,1.046666667
31,w1118,F,1.061333333
33,w1118,F,0.765666667
35,w1118,F,1.018
38,w1118,F,0.639666667
3,w1118,F,0.584333333
5,w1118,F,1.640666667
7,w1118,F,1.646666667
10,w1118,F,2.348
12,w1118,F,1.705333333
14,w1118,F,1.525666667
16,w1118,F,1.486
18,w1118,F,1.211333333
20,w1118,F,1.515
22,w1118,F,0.997333333
24,w1118,F,1.001666667
26,w1118,F,0.969333333
28,w1118,F,1.259333333
31,w1118,F,0.934
33,w1118,F,1.134
35,w1118,F,0.985
38,w1118,F,0.525
3,w1118,F,1.265333333
5,w1118,F,0.992666667
7,w1118,F,2.373
10,w1118,F,1.646
12,w1118,F,1.998333333
14,w1118,F,1.483333333
16,w1118,F,1.94
18,w1118,F,1.527333333
20,w1118,F,1.506666667
22,w1118,F,1.298333333
24,w1118,F,1.281666667
26,w1118,F,1.173666667
28,w1118,F,1.546333333
31,w1118,F,0.896333333
33,w1118,F,0.833
35,w1118,F,0.898333333
38,w1118,F,0.474666667
3,w1118,F,1.334333333
5,w1118,F,1.342333333
7,w1118,F,2.183333333
10,w1118,F,1.628333333
12,w1118,F,2.235
14,w1118,F,1.753333333
16,w1118,F,1.447333333
18,w1118,F,1.138
20,w1118,F,1.507333333
22,w1118,F,1.790333333
24,w1118,F,1.215
26,w1118,F,0.717333333
28,w1118,F,0.933
31,w1118,F,0.645
33,w1118,F,0.930333333
35,w1118,F,0.851333333
38,w1118,F,0.655333333
3,w1118,F,0.727
5,w1118,F,2.204333333
7,w1118,F,1.590333333
10,w1118,F,2.194666667
12,w1118,F,1.265
14,w1118,F,1.526666667
16,w1118,F,1.058333333
18,w1118,F,1.433666667
20,w1118,F,1.408
22,w1118,F,1.045333333
24,w1118,F,1.075666667
26,w1118,F,0.956
28,w1118,F,1.334333333
31,w1118,F,0.729333333
