vial_ID,slope,geno,sex,day,rep,corrected.values
silent_f_03__1,1.2478,silent,f,3,1,1.168466667
silent_f_03__2,1.4219,silent,f,3,1,1.259133333
silent_f_03__3,0.6212,silent,f,3,1,0.882033333
silent_f_03__4,1.575,silent,f,3,1,1.4518
silent_f_03__5,1.4781,silent,f,3,1,1.599366667
silent_f_03__6,1.4861,silent,f,3,1,1.1743
silent_f_03__1,0.9683,silent,f,3,2,
silent_f_03__2,1.2113,silent,f,3,2,
silent_f_03__3,1.0902,silent,f,3,2,
silent_f_03__4,1.2573,silent,f,3,2,
silent_f_03__5,1.6567,silent,f,3,2,
silent_f_03__6,1.0921,silent,f,3,2,
silent_f_03__1,1.2893,silent,f,3,3,
silent_f_03__2,1.1442,silent,f,3,3,
silent_f_03__3,0.9347,silent,f,3,3,
silent_f_03__4,1.5231,silent,f,3,3,
silent_f_03__5,1.6633,silent,f,3,3,
silent_f_03__6,0.9447,silent,f,3,3,
silent_m_03__1,1.0973,silent,m,3,1,1.166733333
silent_m_03__2,1.5296,silent,m,3,1,1.405166667
silent_m_03__3,1.0608,silent,m,3,1,1.1116
silent_m_03__4,1.1682,silent,m,3,1,1.207233333
silent_m_03__5,1.0397,silent,m,3,1,1.1952
silent_m_03__6,0.8208,silent,m,3,1,1.0374
silent_m_03__1,1.1476,silent,m,3,2,
silent_m_03__2,1.4163,silent,m,3,2,
silent_m_03__3,0.9743,silent,m,3,2,
silent_m_03__4,1.0511,silent,m,3,2,
silent_m_03__5,1.4633,silent,m,3,2,
silent_m_03__6,0.9881,silent,m,3,2,
silent_m_03__1,1.2553,silent,m,3,3,
silent_m_03__2,1.2696,silent,m,3,3,
silent_m_03__3,1.2997,silent,m,3,3,
silent_m_03__4,1.4024,silent,m,3,3,
silent_m_03__5,1.0826,silent,m,3,3,
silent_m_03__6,1.3033,silent,m,3,3,
A4V_f_03__1,0.2277,A4V,f,3,1,0.341966667
A4V_f_03__2,0.1576,A4V,f,3,1,0.157733333
A4V_f_03__3,0.3508,A4V,f,3,1,0.340466667
A4V_f_03__4,0.3006,A4V,f,3,1,0.441066667
A4V_f_03__5,0.0379,A4V,f,3,1,0.2898
A4V_f_03__6,0.1446,A4V,f,3,1,0.334966667
A4V_f_03__1,0.3318,A4V,f,3,2,
A4V_f_03__2,0.1096,A4V,f,3,2,
A4V_f_03__3,0.2648,A4V,f,3,2,
A4V_f_03__4,0.3866,A4V,f,3,2,
A4V_f_03__5,0.4469,A4V,f,3,2,
A4V_f_03__6,0.4654,A4V,f,3,2,
A4V_f_03__1,0.4664,A4V,f,3,3,
A4V_f_03__2,0.206,A4V,f,3,3,
A4V_f_03__3,0.4058,A4V,f,3,3,
A4V_f_03__4,0.636,A4V,f,3,3,
A4V_f_03__5,0.3846,A4V,f,3,3,
A4V_f_03__6,0.3949,A4V,f,3,3,
A4V_m_03__1,0.5396,A4V,m,3,1,0.586133333
A4V_m_03__2,0.8021,A4V,m,3,1,0.562766667
A4V_m_03__3,0.1462,A4V,m,3,1,0.418066667
A4V_m_03__4,0.5039,A4V,m,3,1,0.839733333
A4V_m_03__5,0.3327,A4V,m,3,1,0.3792
A4V_m_03__6,0.5244,A4V,m,3,1,0.456233333
A4V_m_03__1,0.7041,A4V,m,3,2,
A4V_m_03__2,0.3583,A4V,m,3,2,
A4V_m_03__3,0.3124,A4V,m,3,2,
