Name,Genotype,Sex,Age,brp puncta
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,91
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,143
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,101
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,209
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,163
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,166
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,155
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,157
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,162
WTM3,ok371>BRP GFP; dSod1WT/dSod1WT,M,3,93
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,149
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,104
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,75
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,159
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,144
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,78
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,124
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,117
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,120
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,156
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,161
A4VM3,ok371>BRP GFP; dSod1A4V/dSod1A4V,M,3,14
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,157
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,144
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,159
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,143
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,149
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,102
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,135
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,187
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,95
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,161
WTM10,ok371>BRP GFP; dSod1WT/dSod1WT,M,10,126
